TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
58,1,E003771,RES SMD 56.2K Ohm 1% 1/10W 0402 AEC-Q200, 56.2K,R0402,1,N/A,1/10W,R109,PANASONIC, ERJ-2RKF5622X,REL,A003-0035-028,41816JH1195,N/A,1616_CAB3,7008065,?,?
59,7,E003452,RES SMD 33 Ohm 5% 1/10W 0402 AEC-Q200,33,R0402,5,N/A,1/10W,"R49,R52,R110,R123,R141,R142,R144",PANASONIC, ERJ-2GEJ330X,REL,A003-0021-016,41816DG861,N/A,N/A,N/A,?,?
60,20,E030866,RES SMD 0 Ohm JUMPER 1/5W 0402 AEC-Q200,0,R0402,JUMPER,N/A,1/5W,"R7,R16,R41,R42,R43,R44,R45,R58,R68,R69,R85,R111,R112,R114,R115,R116,R117,R118,R119,R120",VISHAY, CRCW04020000Z0EDHP,REL,N/A,N/A,N/A,N/A,N/A,?,?
61,26,E003751,RES SMD 10K Ohm 1% 1/10W 0402 AEC-Q200, 10K,R0402,1,N/A,1/10W,"R8,R23,R24,R25,R26,R46,R47,R48,R50,R51,R60,R61,R62,R63,R64,R70,R71,R75,R79,R86,R87,R113,R124,R139,R140,R143",PANASONIC, ERJ-2RKF1002X,REL,A003-0035-004,41816DG719,N/A,N/A,7000582,?,?
62,4,E016329,RES SMD 100 Ohm 1% 1/10W 0402 AEC-Q200,100,R0402,1,N/A,1/10W,"R12,R13,R29,R30",PANASONIC, ERJ-2RKF1000X,REL,N/A,N/A,N/A,N/A,7005699,?,?
63,5,E056162,"RES 10K OHM 1% 1/10W 0402, AEC-Q200", 10K,R0402,1,N/A,1/10W,"R39,R40,R67,R121,R122","KOA SPEER ELECTRONICS, INC.", RK73H1ERTTP1002F,REL,N/A,N/A,N/A,N/A,N/A,?,?
64,2,E010034,RES SMD 3.3K Ohm 1% 1/10W 0402 AEC-Q200, 3.3K,R0402,1,50V,1/10W,"R136,R137",PANASONIC, ERJ-2RKF3301X,REL,N/A,N/A,N/A,N/A,7007123,?,?
65,4,E003446,RES SMD 2.2K Ohm 5% 1/10W 0402 AEC-Q200, 2.2K,R0402,5,N/A,1/10W,"R14,R15,R31,R32",PANASONIC, ERJ-2GEJ222X,REL,A003-0021-010,41816DG1249,N/A,1420_CAB3,N/A,?,?
66,1,E020520,RES SMD 20 Ohm 1% 1/10W 0402 AEC-Q200,20,R0402,1,N/A,1/10W,R17,PANASONIC, ERJ-2RKF20R0X,REL,N/A,N/A,N/A,N/A,N/A,?,?
68,5,E027220,RES SMD 100K Ohm 5% 1/16W 0402 AEC-Q200, 100K,R0402,5,N/A,1/16W,"R19,R33,R37,R81,R83",VISHAY, CRCW0402100KJNED,REL,N/A,N/A,N/A,N/A,7000590,?,?
69,1,E003752,RES SMD 2K Ohm 1% 1/10W 0402 AEC-Q200, 2K,R0402,1,N/A,1/10W,R2,PANASONIC, ERJ-2RKF2001X,REL,A003-0035-005,N/A,N/A,N/A,N/A,?,?
70,1,E007439,RES SMD 1.2K Ohm 1% 1/10W 0402 AEC-Q200, 1.2K,R0402,1,N/A,1/10W,R20,PANASONIC, ERJ-2RKF1201X,REL,N/A,N/A,N/A,N/A,N/A,?,?
72,1,E019889,RES SMD 499K Ohm 1% 1/10W 0402 AEC-Q200, 499K,R0402,1,N/A,1/10W,R22,PANASONIC, ERJ-2RKF4993X,REL,N/A,N/A,N/A,N/A,N/A,?,?
73,1,E022007,RES SMD 200 Ohm 0.5% 1/16W 0402 AEC-Q200 HIGH RELIABILITY,200,R0402,0.5,N/A,1/16W,R3,PANASONIC, ERA-2AED201X,REL,N/A,N/A,N/A,N/A,N/A,?,?
74,3,E003791,RES SMD 20K Ohm 1% 1/10W 0402 AEC-Q200, 20K,R0402,1,N/A,1/10W,"R36,R54,R56",PANASONIC, ERJ-2RKF2002X,REL,A003-0035-048,41816DG1537,N/A,1264_CAB3,N/A,?,?
75,1,E010877,RES SMD 240 Ohm 1% 1/10W 0402 AEC-Q200,240,R0402,1,N/A,1/10W,R4,PANASONIC, ERJ-2RKF2400X,REL,N/A,N/A,N/A,1611_CAB3,7006893,?,?
77,8,E021894,RES SMD 330 Ohm 1% 1/16W 0402 AEC-Q200,330,R0402,1,N/A,1/16W,"R59,R72,R73,R74,R76,R77,R89,R90",VISHAY, CRCW0402330RFKED,REL,N/A,N/A,N/A,N/A,N/A,?,?
78,2,E010267,RES SMD 5.1K Ohm 0.1% 1/16W 0402 AEC-Q200 HIGH RELIABILITY, 5.1K,R0402,0.1,25V,1/16W,"R6,R66",PANASONIC, ERA-2AEB512X,REL,A003-0093-008,41816DG1569,N/A,N/A,N/A,?,?
79,1,E007152,RES SMD 22.1K Ohm 1% 1/16W 0402 AEC-Q200, 22.1K,R0402,1,N/A,1/16W,R65,VISHAY, CRCW040222K1FKED,REL,A003-0035-084,41816DG1562,N/A,1522_CAB3,7006795,?,?
80,1,E030873,RES SMD 1MEG Ohm 1% 1/10W 0603 AEC-Q200, 1MEG,R0603,1,N/A,1/10W,R80,VISHAY, CRCW06031M00FKEA,REL,N/A,N/A,N/A,N/A,N/A,?,?
81,1,E013598,RES SMD 47.5K Ohm 1% 1/10W 0402 AEC-Q200, 47.5K,R0402,1,N/A,1/10W,R88,PANASONIC, ERJ-2RKF4752X,REL,N/A,N/A,N/A,N/A,N/A,?,?
82,1,E017173,RES SMD 37.4K Ohm 1% 1/10W 0402 AEC-Q200, 37.4K,R0402,1,N/A,1/10W,R91,PANASONIC, ERJ-2RKF3742X,REL,N/A,N/A,N/A,N/A,N/A,?,?
83,2,E003438,RES SMD 0 Ohm JUMPER 1/10W 0402 AEC-Q200,0,R0402,JUMPER,N/A,1/10W,"R92,R94",PANASONIC, ERJ-2GE0R00X,REL,A003-0021-001,N/A,N/A,1138_CAB3,7000282,?,?
85,1,E016739,RES SMD 38.3K Ohm 1% 1/10W 0402 AEC-Q200, 38.3K,R0402,1,N/A,1/10W,R95,PANASONIC, ERJ-2RKF3832X,REL,N/A,N/A,N/A,N/A,7007402,?,?
87,1,E023709,RES SMD 15.8K Ohm 0.1% 1/16W 0402 AEC-Q200 HIGH RELIABILITY, 15.8K,R0402,0.1,N/A,1/16W,R98,PANASONIC, ERA-2AEB1582X,REL,N/A,N/A,N/A,N/A,N/A,?,?
88,7,E046239,"RES SMD NTWRK 100 OHM 5% 0.063W 0804, 8PIN/4RES AEC-Q200 ISOLATED",100,RESNET8,5,N/A,0.063W,"RN1,RN2,RN3,RN4,RN5,RN6,RN7",PANASONIC, EXB-28V101JX,REL,N/A,N/A,N/A,N/A,N/A,?,?
89,1,E040089,SWITCH ROTARY DIP BCD 0.15A, RDTAR10S1R,SWSMSQ394H268,N/A,42V,N/A,S1,"E-SWITCH, INC.", RDTAR10S1R,REL,N/A,N/A,N/A,N/A,N/A,?,?
90,1,E040082,SWITCH TACTILE SPST-NO 0.01A 32V, KMR223GLFG,SWSML165W110H75-G,N/A,32V,N/A,S2,C&K, KMR223GLFG,REL,N/A,N/A,N/A,N/A,N/A,?,?
92,1,E058333,"IC-ADI SINGLE SHARC-FX CORE, PRELIM", ADSP-21835-BPZENG,CSPBGA400_17X17,N/A,N/A,?,U1,ANALOG DEVICES, ADSP-21835-BPZENG,RWC,N/A,N/A,N/A,N/A,N/A,?,?
93,7,E040081,IC-TTL LOW VOLT SINGLE FET BUS SWITCH, 74CBTLV1G125DBVRQ1,SOT23-5L-2,N/A,N/A,?,"U3,U5,U9,U10,U19,U20,U21",TEXAS INSTRUMENTS, 74CBTLV1G125DBVRQ1,REL,N/A,N/A,N/A,N/A,N/A,?,?
94,2,E040048,IC-TTL SINGLE 2-INPUT POSITIVE AND GATE, SN74LVC1G08QDBVRQ1,SOT23-5L-2,N/A,N/A,?,"U11,U13",TEXAS INSTRUMENTS, SN74LVC1G08QDBVRQ1,REL,N/A,N/A,N/A,N/A,N/A,?,?
95,1,E027659,IC-ADI OPEN-DRAIN MICROPROCESSOR SUPERVISORY CKT, ADM6315-29D2ARTZR7,SOT143A,N/A,N/A,?,U14,ANALOG DEVICES, ADM6315-29D2ARTZR7,REL,N/A,N/A,N/A,N/A,30-026367-01,?,?
96,1,E050004,IC FULL SPEED USB TO UART BRIDGE USB 2.0 3.3V, CP2102N-A02-GQFN28,QFN28_5X5_PAD3_5X3_5,N/A,N/A,?,U15,SILICON LABS, CP2102N-A02-GQFN28,REL,N/A,N/A,N/A,N/A,N/A,?,?
97,1,E045269,"IC-ADI 5V, 10A SYCHRONOUS STEP-DOWN SILENT SWITCHER 2, AEC-Q100", LTC3310JV#WPBF,QFN18_3X3_PAD1_51X1_7,N/A,N/A,?,U16,ANALOG DEVICES, LTC3310JV#WPBF,REL,N/A,N/A,N/A,N/A,N/A,?,?
98,1,E042057,"IC-ADI 5V, 3A SYNCHRONOUS STEP-DOWN SILENT SWITCHER AUTOMOTIVE", LTC3307AHV#WTRMPBF,QFN12_2X2_PAD0_7X0_7,N/A,N/A,?,U17,ANALOG DEVICES, LTC3307AHV#WTRMPBF,REL,N/A,N/A,N/A,N/A,N/A,?,?
99,1,E013337,IC-ADI CMOS LIN REG LDO 1.8V, ADP151AUJZ-1.8-R7,TSOT-5,N/A,2.2V TO 5.5V,?,U18,ADI, ADP151AUJZ-1.8-R7,REL,N/A,N/A,N/A,N/A,1003664,?,?
100,1,E050642,IC 3A HIGH SPEED LOW V DDR TERMINATOR, MIC5166YML-TR,DFN10_3X3_PAD2_4X1_7,N/A,N/A,?,U2,MICROCHIP TECHNOLOGY, MIC5166YML-TR,REL,N/A,N/A,N/A,N/A,N/A,?,?
101,6,E050248,IC-CMOS QUAD FET BUS SWITCH, SN74CB3T3125RGYR,QFN14_3_5X3_5_PAD2_05X2_05,N/A,N/A,?,"U22,U23,U27,U28,U29,U30",TEXAS INSTRUMENTS, SN74CB3T3125RGYR,REL,N/A,N/A,N/A,N/A,N/A,?,?
102,1,E018893,IC-ADI MOBILE I/O EXPANDER AND QWERTY KEYPAD CONTROLLER, ADP5587ACPZ-1,QFN24_4X4_PAD2_1X2_1,N/A,N/A,?,U24,ANALOG DEVICES, ADP5587ACPZ-1-R7,REL,N/A,N/A,N/A,N/A,1003870,?,?
103,1,E050383,"IC COMBO MEMORY 512M-BIT HYPERFLASH/64M-BIT HYPERRAM 64MX8 3V, AEC-Q100", S71KL512SC0BHB003,BGA24_8X6,N/A,N/A,?,U25,CYPRESS SEMICONDUCTOR, S71KL512SC0BHB003,REL,N/A,N/A,N/A,N/A,N/A,?,?
104,1,E035648,IC 1K I2C SERIAL EEPROM, 24AA01T-I/OT,SOT23-5L-2,N/A,N/A,?,U26,MICROCHIP TECHNOLOGY, 24AA01T-I/OT,REL,N/A,N/A,N/A,N/A,N/A,?,?
105,1,E054395,"IC 512MB NOR FLASH SERIAL (SPI, DUAL IC SPI, QUAD SPI) 3V/3.3V 512M-BIT 64M X 8 8.5NS", IS25LP512M-RHLE,TBGA24,N/A,N/A,?,U4,ISSI, IS25LP512M-RHLE,REL,N/A,N/A,N/A,N/A,N/A,?,?
106,1,E040333,"IC-CMOS HIGH BANDWIDTH, 4-BIT 2-PORT BUS SWITCH", PI3C3125LEX,TSSOP14,N/A,N/A,?,U7,DIODES INCORPORATED, PI3C3125LEX,REL,N/A,N/A,N/A,N/A,N/A,?,?
107,1,E057159,IC DRAM 4G 256MX16 1.35V DDR3L, IS43TR16256BL-107MBL,BGA96_13X9,N/A,N/A,?,U8,ISSI, IS43TR16256BL-107MBL,?,N/A,N/A,N/A,N/A,N/A,?,?
108,1,E041170,"IC-ADI 42V, 5A SYNCHRONOUS STEP-DOWN SILENT SWITCHER WITH 2.5UA QUIESCENT CURRENT, AUTOMOTIVE", LT8636EV#WPBF,LQFN20_4X3_PAD2_65X1_65,N/A,N/A,?,VR1,ANALOG DEVICES, LT8636EV#WPBF,REL,N/A,N/A,N/A,N/A,N/A,?,?
109,1,E050382,"IC XTAL 25MEGHZ 12PF 20PPM 40 OHM, AEC-Q200", 25MEGHZ,YSML126W98H31,20PPM,N/A,N/A,Y1,"ECS, INC.", ECS-250-12-33Q-JES-TR,REL,N/A,N/A,N/A,N/A,N/A,?,?
110,1,E057580,"IC CRYSTAL 25MEGHZ XO HCMOS, 15PF AEC-Q200", 25MEGHZ,YSML79W63H32,N/A,1.8V-3.3V,N/A,Y2,"ECS, INC.", ECS-2016MVQ-250-BS-TR,REL,N/A,N/A,N/A,N/A,N/A,?,?
111,1,E049327,IC CRYSTAL OSC XO 24.576MHZ CMOS AEC-Q100/ 200, 24.576MEGHZ,YSML79W63H31,N/A,N/A,N/A,Y4,KYOCERA, MC2016Z24.5760C19XSH,REL,N/A,N/A,N/A,N/A,N/A,?,?
112,2,E032840,"IC CRYSTAL CLOCK OSCILLATOR, 15PF", 25MEGHZ,YSML98W79H35,N/A,3.3V,N/A,"Y5,Y6","ECS, INC.", ECS-2033-250-AU,REL,N/A,N/A,N/A,N/A,N/A,?,?
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The following components are part of the PCB or are NOT to be installed,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
26,1,E033808,CAP CER 100pF 50V 1% C0G 0402 AEC-Q200, 100pF,C0402,1,50V,N/A,C208,MURATA, GCM1555C1H101FA16D,REL,N/A,N/A,N/A,N/A,N/A,?,DNI
54,1,E003796,RES SMD 100K Ohm 1% 1/10W 0402 AEC-Q200, 100K,R0402,1,N/A,1/10W,R101,PANASONIC, ERJ-2RKF1003X,REL,A003-0035-053,41816DG575,N/A,1422_CAB3,N/A,?,DNI
67,3,E030866,RES SMD 0 Ohm JUMPER 1/5W 0402 AEC-Q200,0,R0402,JUMPER,N/A,1/5W,"R5,R18,R27",VISHAY, CRCW04020000Z0EDHP,REL,N/A,N/A,N/A,N/A,N/A,?,DNI
71,8,E027220,RES SMD 100K Ohm 5% 1/16W 0402 AEC-Q200, 100K,R0402,5,N/A,1/16W,"R21,R34,R35,R38,R53,R55,R82,R84",VISHAY, CRCW0402100KJNED,REL,N/A,N/A,N/A,N/A,7000590,?,DNI
76,2,E003751,RES SMD 10K Ohm 1% 1/10W 0402 AEC-Q200, 10K,R0402,1,N/A,1/10W,"R57,R78",PANASONIC, ERJ-2RKF1002X,REL,A003-0035-004,41816DG719,N/A,N/A,7000582,?,DNI
84,1,E003438,RES SMD 0 Ohm JUMPER 1/10W 0402 AEC-Q200,0,R0402,JUMPER,N/A,1/10W,R93,PANASONIC, ERJ-2GE0R00X,REL,A003-0021-001,N/A,N/A,1138_CAB3,7000282,?,DNI
86,1,E038133,RES SMD 1.69MEG Ohm 1% 1/16W 0402 AEC-Q200, 1.69MEG,R0402,1,N/A,1/16W,R97,VISHAY, CRCW04021M69FKED,REL,N/A,N/A,N/A,N/A,N/A,?,DNI
91,4,E000946,CONN-PCB TST PNT WHT, WHT,CNLOOPTP,N/A,N/A,N/A,"TP1,TP2,TP3,TP4",COMPONENTS CORPORATION, TP-104-01-09,REL,A012-0018-042,40313JH103,N/A,N/A,N/A,?,DNI
